indice_tiempo,origen_visitantes,visitas,observaciones
2023-08-01,no residentes,73836,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-08-01,residentes,181579,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-08-01,total,255415,Emergencia sanitaria.
2023-09-01,no residentes,90510,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-09-01,residentes,206308,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-09-01,total,296818,Emergencia sanitaria.
2023-10-01,no residentes,103087,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-10-01,residentes,269240,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-10-01,total,372327,Emergencia sanitaria.
2023-11-01,no residentes,140115,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-11-01,residentes,178336,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-11-01,total,318451,Emergencia sanitaria.
2023-12-01,no residentes,227203,
2023-12-01,residentes,154504,
2023-12-01,total,381707,"Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas"
2024-01-01,no residentes,196222,
2024-01-01,residentes,316674,
2024-01-01,total,512896,"Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas"
2024-02-01,no residentes,185483,
2024-02-01,residentes,229585,
2024-02-01,total,415068,"Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas"
2024-03-01,no residentes,166289,
2024-03-01,residentes,194292,
2024-03-01,total,360581,"Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas"
2024-04-01,no residentes,97217,
2024-04-01,residentes,127408,
2024-04-01,total,224625,"No se recibió información de la portada Tren del PN Tierra del Fuego. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas"
2024-05-01,no residentes,58671,
2024-05-01,residentes,87498,
2024-05-01,total,146169,"No se recibió información de visitas de los PN Pre Delta y Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  El PN Perito Moreno se cierra a la visita desde el 30 de abril al 1° de octubre cada año; el PN Isla Pinguino se cierra a la visita desde fines de abril a septiembre de cada año. "
2024-06-01,no residentes,44258,
2024-06-01,residentes,130172,
2024-06-01,total,174430,"No se recibió información de visitas de los PN Laguna Blanca, Pre Delta, Río Pilcomayo, Formosa, Colonia Benítez  y Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  El PN Perito Moreno se cierra a la visita desde el 30 de abril al 1° de octubre cada año; el PN Isla Pinguino se cierra a la visita desde fines de abril a septiembre de cada año. "
2024-07-01,no residentes,89316,
2024-07-01,residentes,247460,
2024-07-01,total,336776,"No se recibió información de visitas de los PN Río Pilcomayo, Formosa, Pizarro y Los Cardones. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  El PN Perito Moreno se cierra a la visita desde el 30 de abril al 1° de octubre cada año; el PN Isla Pinguino se cierra a la visita desde fines de abril a septiembre de cada año. "
2024-08-01,no residentes,73460,
2024-08-01,residentes,135229,
2024-08-01,total,208689,"No se recibió información de visitas de los PN Río Pilcomayo, Formosa, El Impenetrable (portada Puerto San Jorge) y la RN Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  El PN Perito Moreno se cierra a la visita desde el 30 de abril al 1° de octubre cada año; el PN Isla Pinguino se cierra a la visita desde fines de abril a septiembre de cada año. "
2024-09-01,no residentes,72981,
2024-09-01,residentes,176751,
2024-09-01,total,249732,"No se recibió información de visitas de los PN Ansenuza y la RN Pizarro; el PN Traslasierra permaneció cerrado desde el 20 de septiembre el parque por incendio forestal. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  El PN Perito Moreno se cierra a la visita desde el 30 de abril al 1° de octubre cada año; el PN Isla Pinguino se cierra a la visita desde fines de abril a septiembre de cada año. "
2024-10-01,no residentes,106803,
2024-10-01,residentes,231674,
2024-10-01,total,338477,"No se recibió información de visitas de los PN Ansenuza, Laguna Blanca, Isla Pinguino, Laguna de los Pozuelos, Sierra de las Quijadas, El Impenetrable, Formosa y la RN Pizarro; el PN Traslasierra permaneció cerrado en octubre por incendio forestal y posteriores lluvias. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  El PN Perito Moreno se cierra a la visita desde el 30 de abril al 1° de octubre cada año."
2024-11-01,no residentes,136519,
2024-11-01,residentes,183379,
2024-11-01,total,319898,"No se recibió información de visitas de los PN Ansenuza, Isla Pinguino, Sierra de las Quijadas, Formosa, Ciervo de los Pantanos, Los Alerces, Los Cardones, Patagonia y la RN Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  En el PN Los Glaciares, se incluyó el registro en la zona norte del parque con las portadas Fitz Roy y Río Eléctrico"
2024-12-01,no residentes,129059,
2024-12-01,residentes,184987,
2024-12-01,total,314046,"No se recibió información de visitas de los PN Ansenuza, Formosa, Traslasierra y RN Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  En el PN Los Glaciares, se incluyó el registro en la zona norte del parque con las portadas Fitz Roy y Río Eléctrico"
2025-01-01,no residentes,163033,
2025-01-01,residentes,391005,
2025-01-01,total,554038,"No se recibió información de visitas de los PN Ansenuza, Campos del Tuyú, Formosa, Chaco y RN Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  En el PN Los Glaciares, se incluyó el registro en la zona norte del parque con las portadas Fitz Roy, Río Eléctrico y Mirador de los Cóndores"
2025-02-01,no residentes,138650,
2025-02-01,residentes,270054,
2025-02-01,total,408704,"No se recibió información de visitas de los PN Ansenuza, Campos del Tuyú, Isla Pingüino y RN Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  "
2025-03-01,no residentes,135009,
2025-03-01,residentes,232780,
2025-03-01,total,367789,"No se recibió información de visitas de los PN Ansenuza, Campos del Tuyú, Isla Pingüino y RN Pizarro. Desde el 2021, el PN Lago Puelo dejó de cobrar derechos de acceso, por tal motivo, se dejó de contabilizar las visitas.  "
