indice_tiempo,origen_visitantes,visitas,observaciones
2011-11-01,residentes,144010,
2011-11-01,total,269793,
2011-12-01,no residentes,116655,
2011-12-01,residentes,160570,
2011-12-01,total,277225,
2012-01-01,no residentes,153712,
2012-01-01,residentes,472200,
2012-01-01,total,625912,
2012-02-01,no residentes,129239,
2012-02-01,residentes,306643,
2012-02-01,total,435882,
2012-03-01,no residentes,99718,
2012-03-01,residentes,148394,
2012-03-01,total,248112,
2012-04-01,no residentes,68873,
2012-04-01,residentes,210370,
2012-04-01,total,279243,
2012-05-01,no residentes,36298,
2012-05-01,residentes,89008,
2012-05-01,total,125306,
2012-06-01,no residentes,32770,
2012-06-01,residentes,75522,
2012-06-01,total,108291,
2012-07-01,no residentes,47717,
2012-07-01,residentes,250409,
2012-07-01,total,298126,
2012-08-01,no residentes,46998,
2012-08-01,residentes,117257,
2012-08-01,total,164255,
2012-09-01,no residentes,51429,
2012-09-01,residentes,172009,
2012-09-01,total,223438,
2012-10-01,no residentes,73194,
2012-10-01,residentes,188074,
2012-10-01,total,261268,
2012-11-01,no residentes,115422,
2012-11-01,residentes,168422,
2012-11-01,total,283843,
2012-12-01,no residentes,109077,
2012-12-01,residentes,127649,
2012-12-01,total,236726,
2013-01-01,no residentes,140270,
2013-01-01,residentes,603868,
2013-01-01,total,744137,
2013-02-01,no residentes,126550,
2013-02-01,residentes,370700,
2013-02-01,total,497250,
2013-03-01,no residentes,101734,
2013-03-01,residentes,261101,
2013-03-01,total,362834,
2013-04-01,no residentes,57975,
2013-04-01,residentes,143655,
2013-04-01,total,201630,
2013-05-01,no residentes,41278,
2013-05-01,residentes,77896,
2013-05-01,total,119174,
2013-06-01,no residentes,32863,
2013-06-01,residentes,103177,
2013-06-01,total,136040,
2013-07-01,no residentes,55526,
2013-07-01,residentes,192877,
2013-07-01,total,248403,
2013-08-01,no residentes,50385,
2013-08-01,residentes,109640,
2013-08-01,total,160026,
2013-09-01,no residentes,55223,
2013-09-01,residentes,150852,
2013-09-01,total,206075,
2013-10-01,no residentes,76027,
2013-10-01,residentes,186365,
2013-10-01,total,262392,
2013-11-01,no residentes,118351,
2013-11-01,residentes,164744,
2013-11-01,total,283095,
